id,name,cpu,motherboard,gpu,ram,storage,psu,cabinet,price (INR)
1,Business Workstation,Intel Xeon W-3345,Supermicro X12SPA-TF,NVIDIA RTX A6000,128GB DDR4 ECC,4TB NVMe SSD,1200W,Corsair 4000D Airflow Mid-Tower,950000
2,Business Workstation,AMD EPYC 7763,ASRock Rack EPYCD8-2T,NVIDIA RTX 4090,128GB DDR4 ECC,4TB NVMe SSD,1200W,Phanteks Eclipse P500A Mid-Tower,900000
3,Business Workstation,Intel Core i9-13900K,ASUS ROG Maximus Z790 Hero,NVIDIA RTX A5000,128GB DDR5,2TB NVMe SSD,1000W,Ant Esports ICE-300 Mesh Mid-Tower,700000
4,Business Workstation,AMD Ryzen 9 7950X,ASUS ROG Crosshair X670E Hero,NVIDIA RTX A4500,128GB DDR5,2TB NVMe SSD,1000W,Zebronics Zium Mid-Tower,680000
5,Business Workstation,Intel Xeon W-2245,ASUS WS C422 SAGE/10G,NVIDIA RTX A4000,64GB DDR4 ECC,2TB NVMe SSD,850W,Cooler Master MasterBox TD500 Mesh,500000
6,Financial Trading PC,Intel Core i9-13900,ASUS ProArt Z790-CREATOR WIFI,NVIDIA RTX 4080,64GB DDR5,2TB NVMe SSD,1000W,Lian Li Lancool II Mesh RGB,550000
7,Financial Trading PC,AMD EPYC 7643,GIGABYTE MZ72-HB0,NVIDIA RTX 4070 Ti,128GB DDR4 ECC,4TB NVMe SSD,1200W,Deepcool MACUBE 310 Mid-Tower,800000
8,Financial Trading PC,Intel Xeon W-3275,Supermicro X11SPA-T,NVIDIA RTX A5500,128GB DDR4 ECC,2TB NVMe SSD,1000W,Phanteks Enthoo Pro Full Tower,870000
9,Financial Trading PC,AMD Threadripper 3970X,ASUS ROG Zenith II Extreme,NVIDIA RTX A4000,128GB DDR4 ECC,4TB NVMe SSD,1000W,Corsair 7000D Airflow Full Tower,780000
10,Financial Trading PC,Intel Core i9-13700KF,MSI MEG Z790 ACE,NVIDIA RTX A4000,64GB DDR5,2TB NVMe SSD,850W,Antec DF700 Flux Mid-Tower,500000
11,Server & Home Lab PC,Intel Xeon W-1250P,ASUS Pro WS W480-ACE,NVIDIA RTX 4060,32GB DDR4 ECC,1TB NVMe SSD,650W,Thermaltake Core P3 Open-Frame,300000
12,Server & Home Lab PC,AMD Ryzen 7 7700,ASUS TUF GAMING B650-PLUS,NVIDIA RTX 4050,32GB DDR5,1TB NVMe SSD,650W,Lian Li PC-O11 Dynamic Mid-Tower,200000
13,Server & Home Lab PC,Intel Core i5-12600K,MSI PRO Z690-A,NVIDIA RTX 4060,32GB DDR5,1TB NVMe SSD,600W,Deepcool CK560 Mid-Tower,180000
14,Server & Home Lab PC,AMD Ryzen 5 7600X,GIGABYTE B650 AORUS ELITE AX,NVIDIA RTX 4060 Ti,32GB DDR5,2TB NVMe SSD,650W,Ant Esports ICE-511MT Mid Tower,220000
15,Server & Home Lab PC,Intel Core i3-13100F,ASRock B760M Pro RS/D4,NVIDIA RTX 3050,16GB DDR4,1TB NVMe SSD,500W,Cooler Master MasterBox MB511 ARGB,120000
16,Medical & Scientific Computing PC,AMD Threadripper PRO 5995WX,ASUS Pro WS WRX80E-SAGE SE WIFI,NVIDIA RTX 4090,128GB DDR4 ECC,8TB NVMe SSD,1500W,Phanteks Evolv X Full Tower,1200000
17,Medical & Scientific Computing PC,Intel Xeon W-3375,Supermicro X12SPA-TF,NVIDIA RTX A5000,128GB DDR4 ECC,4TB NVMe SSD,1200W,NZXT H7 Flow Mid-Tower,970000
18,Medical & Scientific Computing PC,AMD EPYC 7443P,GIGABYTE MZ72-HB0,NVIDIA RTX 4080,128GB DDR4 ECC,4TB NVMe SSD,1200W,Corsair iCUE 5000T RGB Mid-Tower,880000
19,Medical & Scientific Computing PC,Intel Core i7-13700K,MSI MPG Z790 CARBON WIFI,NVIDIA RTX A4000,64GB DDR5,2TB NVMe SSD,850W,Antec P120 Crystal Full Tower,540000
20,Medical & Scientific Computing PC,AMD Ryzen 9 7900X3D,ASUS ROG Strix X670E-E Gaming WiFi,NVIDIA RTX A4500,64GB DDR5,2TB NVMe SSD,1000W,Lian Li O11D Mini Mid-Tower,610000
21,Medical & Scientific Computing PC,Intel Xeon E-2388G,ASUS WS C246 PRO,NVIDIA RTX 3090,64GB DDR4 ECC,2TB NVMe SSD,1000W,Fractal Design Define R6 Mid-Tower,500000
22,Medical & Scientific Computing PC,AMD Threadripper 3955WX,GIGABYTE TRX40 AORUS MASTER,NVIDIA RTX A4000,128GB DDR4 ECC,4TB NVMe SSD,1000W,Phanteks Eclipse P360A Mid-Tower,730000
23,Medical & Scientific Computing PC,Intel Xeon W-1250,ASUS WS W480 PRO,NVIDIA RTX 3050,32GB DDR4 ECC,1TB NVMe SSD,650W,NZXT H210 Mini-ITX,170000
24,Medical & Scientific Computing PC,AMD EPYC 7513,GIGABYTE MZ72-HB0,NVIDIA RTX 3090,128GB DDR4 ECC,4TB NVMe SSD,1000W,Thermaltake Level 20 MT ARGB Mid-Tower,850000
25,Medical & Scientific Computing PC,Intel Xeon W-3335,Supermicro X12SPA-TF,NVIDIA RTX A6000,128GB DDR4 ECC,4TB NVMe SSD,1200W,Corsair iCUE 7000X RGB Full Tower,980000
26,Medical & Scientific Computing PC,AMD Ryzen 9 5950X,ASUS ROG Crosshair VIII Dark Hero,NVIDIA RTX 4080,64GB DDR4,2TB NVMe SSD,1000W,Lian Li LANCOOL III Mid-Tower,650000
27,Server & Home Lab PC,Intel Xeon Silver 4214,Supermicro X11SPL-F,NVIDIA RTX 3060,64GB DDR4 ECC,2TB NVMe SSD,850W,Cooler Master HAF 700 EVO,400000
28,Server & Home Lab PC,AMD EPYC 7302,ASRock Rack EPYCD8-2T,NVIDIA RTX 3070,128GB DDR4 ECC,4TB NVMe SSD,1200W,Thermaltake View 71 TG,750000
29,Financial Trading PC,Intel Core i7-12700K,GIGABYTE Z690 AORUS MASTER,NVIDIA RTX 4070,64GB DDR5,2TB NVMe SSD,850W,NZXT H510 Flow,450000
30,Financial Trading PC,AMD Ryzen 9 5900X,MSI MEG X570 UNIFY,NVIDIA RTX 4090,128GB DDR5,4TB NVMe SSD,1200W,Fractal Design Meshify 2 XL,920000
31,Business Workstation,Intel Core i5-13600K,MSI MAG Z790 TOMAHAWK WIFI,NVIDIA RTX 3070 Ti,32GB DDR5,2TB NVMe SSD,750W,Lian Li O11 Dynamic EVO,320000
32,Business Workstation,AMD Ryzen 5 7600,GIGABYTE B650 GAMING X AX,NVIDIA RTX 4060,32GB DDR5,1TB NVMe SSD,650W,Corsair 275R Airflow,250000
33,Medical & Scientific Computing PC,Intel Xeon W-2265,ASUS WS C422 SAGE/10G,NVIDIA RTX A5500,128GB DDR4 ECC,4TB NVMe SSD,1200W,Thermaltake Tower 900,890000
34,Medical & Scientific Computing PC,AMD Threadripper 3990X,ASRock TRX40 Creator,NVIDIA RTX A6000,128GB DDR4 ECC,8TB NVMe SSD,1500W,Corsair 1000D Super Tower,1250000
35,Server & Home Lab PC,Intel Core i9-13900F,ASRock Z790 Taichi,NVIDIA RTX 4080,128GB DDR5,4TB NVMe SSD,1200W,Fractal Design North Mid-Tower,780000
36,Financial Trading PC,AMD Ryzen 7 7800X3D,MSI MPG B650 CARBON WIFI,NVIDIA RTX 4060 Ti,64GB DDR5,2TB NVMe SSD,850W,Cooler Master NR200P,380000
37,Business Workstation,Intel Xeon W-2400,ASUS WS C422 SAGE/10G,NVIDIA RTX A5000,64GB DDR4 ECC,2TB NVMe SSD,900W,NZXT H440,480000